,sold_quantity
162564,0.0
139540,0.9
42703,0.0
51694,0.0
155964,0.0
162298,0.0
57270,0.0
766,0.05
13233,0.0
149536,0.0
90568,0.15
81295,0.95
91348,10.6
56717,5.2
167202,0.0
108009,0.0
58414,0.35
71257,3.9
61089,0.0
132879,0.0
157837,0.0
81228,8.9
12948,0.0
139613,4.25
129634,0.0
136736,1.25
88253,0.0
6712,0.25
112227,0.0
107506,0.35
71795,5.8
66124,0.7
2156,0.0
30180,5.45
46799,0.0
132404,2.1
47975,0.4
141817,0.2
90355,0.25
46695,0.0
144063,0.0
24809,0.0
120130,0.0
75078,0.0
66847,0.5
55484,0.1
70367,0.2
162452,0.0
77430,0.25
142324,1.35
52398,0.8
28562,0.0
51285,6.15
77187,0.0
102965,0.2
88000,0.0
21591,2.05
94690,0.0
89692,6.65
40465,11.8
76688,0.0
8814,0.0
20397,7.2
84820,0.0
4022,0.1
52331,2.35
73229,0.0
17151,1.75
18122,1.85
83242,0.25
139995,3.75
149901,18.2
92028,1.2
59893,0.05
38721,0.0
113890,0.15
121622,0.0
90813,0.1
65816,0.0
50242,0.4
4124,0.0
61736,0.0
100880,0.0
4516,0.0
108447,0.2
167856,0.0
114426,0.5
168546,0.0
37925,0.0
39658,1.1
87859,0.15
30148,0.0
94339,0.0
133855,0.0
141224,0.0
30047,0.0
49197,3.35
129614,0.75
7854,0.0
152029,0.0
6905,0.2
26533,0.0
82252,2.75
5638,0.0
56027,2.2
76624,0.0
83914,0.0
134125,1.05
32858,2.055
36296,0.0
82254,0.0
80871,10.0
1035,2.25
66219,0.2
57751,0.65
95695,0.0
81701,7.65
147480,0.0
84963,2.5
9671,0.0
65431,0.0
149821,8.3
89728,0.0
47566,0.25
79523,0.0
128368,0.0
76748,0.0
53292,0.15
164773,0.0
69004,3.84
92837,0.0
133372,0.05
42406,0.0
40254,0.0
52828,0.0
88134,0.0
57675,0.0
113543,0.0
53790,0.8
46228,0.0
37416,4.15
101270,1.55
43308,0.03
50591,6.9
79126,0.0
51760,0.0
113017,0.0
139741,0.0
79694,0.0
90997,0.4
148606,0.0
164220,0.25
4234,0.0
86072,0.0
131725,0.0
156627,3.5
1215,0.0
141741,0.0
112459,0.0
157665,0.0
114605,0.1
91614,0.35
120976,4.05
3090,5.0
51294,2.6
160294,0.0
151571,0.0
19894,0.0
34159,0.0
85637,1.55
108233,105.85
2408,0.0
152978,0.0
25537,0.0
151275,0.0
105155,0.2
25855,0.0
160349,0.35
141526,2.25
94411,0.25
40909,0.4
50017,0.0
79504,0.0
19399,0.4
92177,0.35
160061,0.0
128478,0.0
38090,0.0
143578,7.75
103197,0.0
63813,0.0
145855,0.0
33792,0.0
50684,0.0
11160,0.65
168166,0.0
87671,0.0
31409,0.0
106903,32.9
27114,0.0
102866,0.0
105977,0.65
32978,0.05
128628,0.0
93115,0.9
82441,0.0
161060,3.4
65774,0.55
10202,0.0
121601,0.0
25380,0.0
59579,0.0
110147,0.0
152975,0.0
45812,0.0
159097,0.0
96289,0.0
10892,0.05
94774,0.0
71484,0.0
60163,3.6
164048,0.0
135482,0.0
49370,0.0
43614,0.0
115297,1.4
117353,0.0
154617,0.1
3880,0.5
9708,0.1
122511,0.2
142014,0.0
8080,0.45
53341,0.0
112230,0.6
121355,0.0
66511,0.0
58517,0.1
30033,0.0
2332,0.4
560,0.0
63515,0.0
147385,0.0
109192,0.0
7647,0.35
85827,1.65
59642,0.0
22296,0.0
121538,0.0
82049,0.0
90989,4.8
2275,0.0
79539,0.0
51776,12.85
80623,0.4
42261,0.0
89926,0.95
82274,0.0
79294,0.0
13578,0.0
103653,0.0
158200,0.0
76045,0.0
5413,1.0
103142,2.2
99546,0.4
58604,0.0
141697,0.0
156632,0.0
85747,0.0
109490,0.05
133508,1.35
131698,0.5
49356,0.0
57028,0.0
153644,3.35
38998,0.0
36159,0.4
114747,0.0
57000,0.35
87978,0.0
150413,0.3
92429,10.25
26009,0.0
110979,0.0
145774,0.0
140342,0.0
152591,0.0
26328,0.478
138989,4.4
18645,0.95
81866,0.0
58649,0.6
35161,2.5
30621,0.0
104161,3.0
78301,0.0
18698,0.7
115226,2.0
159437,0.0
22898,0.1
106133,0.0
139746,0.6
25693,0.0
129142,0.6
67408,0.0
82798,0.0
72235,3.5
42145,0.1
70021,0.0
99330,0.0
69708,0.0
106481,0.3
161762,1.4
157936,0.0
143606,0.0
9084,0.15
127492,0.0
82582,0.0
50123,3.0
1001,0.0
84006,0.0
107054,0.0
132899,0.0
60556,0.0
104132,2.4
120960,0.0
39274,0.05
143293,0.0
138978,17.15
22349,1.25
98442,4.25
148465,0.0
